DATE,TEAM_1,TEAM_2,WINNER,MARGIN,VENUE,CATEGORY_OF_WINNER
8-Jul-17,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Mahinda Rajapaksha Interntional cricket stadium,Yes
10-Jul-17,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Mahinda Rajapaksha Interntional cricket stadium,Yes
20-Aug-17,Sri Lanka,India,India,9 wickets,Dambulla,Yes
24-Aug-17,Sri Lanka,India,India,3 wickets,Pallekele,Yes
27-Aug-17,Sri Lanka,India,India,6 wickets,Pallekele,Yes
31-Aug-17,Sri Lanka,India,India,168 runs,Colombo,Yes
3-Sep-17,Sri Lanka,India,India,6 wickets,Colombo,Yes
13-Sep-17,Ireland,West Indies,NaN,NaN,Civil Service Cricket Club,No
17-Sep-17,India,Australia,India,26 runs,Bengaluru,Yes
19-Sep-17,England,West Indies,England,7 wickets,Old Trafford,Yes
21-Sep-17,India,Australia,India,50 runs,Eden Gardens,Yes
21-Sep-17,England,West Indies,NaN,NaN,Trent Bridge,No
24-Sep-17,England,West Indies,England,124 runs,Bristol,Yes
24-Sep-17,India,Australia,India,5 wickets,Indore,Yes
27-Sep-17,England,West Indies,England,6 runs,Kensington Oval,Yes
28-Sep-17,India,Australia,Australia,21 runs,Bengaluru,Yes
29-Sep-17,England,West Indies,England,9 wickets,The Rose Bowl,Yes
1-Oct-17,India,Australia,India,7 wickets,Bidharva,Yes
5-Oct-17,PNG,Scotland,Scotland,101 runs,Amini Park,Yes
8-Oct-17,PNG,Scotland,PNG,5 wickets,Amini Park,Yes
13-Oct-17,Pakistan,Sri Lanka,Pakistan,83 runs,Dubai,Yes
15-Oct-17,South Africa,Bangladesh,South Africa,10 wickets,Diamond Oval,Yes
16-Oct-17,Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,Yes
18-Oct-17,South Africa,Bangladesh,South Africa,104 runs,Boland Park,Yes
18-Oct-17,Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,Yes
20-Oct-17,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,Yes
22-Oct-17,India,NewZeland,NewZeland,6 wickets,Mumbai,Yes
22-Oct-17,South Africa,Bangladesh,South Africa,200 runs,Boland Park,Yes
23-Oct-17,Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,Yes
25-Oct-17,India,NewZeland,India,6 wickets,Maharastra,Yes
29-Oct-17,India,NewZeland,India,6 runs ,Kanpur,Yes
24-Nov-17,PNG,Scotland,Scotland,6 wickets,Dubai,Yes
25-Nov-17,PNG,Scotland,Scotland,4 wickets,Dubai,Yes
5-Dec-17,Afganisthan,Ireland,Afganisthan,138 runs,Sharjah,Yes
6-Dec-17,Hong Kong,PNG,Hong Kong,23 runs,ICC GCA,Yes
7-Dec-17,Afganisthan,Ireland,Ireland,51 runs,Sharjah,Yes
8-Dec-17,Hong Kong,PNG,Hong Kong,93 runs,ICC GCA,Yes
10-Dec-17,India,Sri Lanka,Sri Lanka,7 wickets,Himachal Pradesh,Yes
10-Dec-17,Afganisthan,Ireland,Ireland,5 wickets,Sharjah,Yes
13-Dec-17,India,Sri Lanka,India,141 runs,Punjab,Yes
17-Dec-17,India,Sri Lanka,India,8 wickets,Reddy cricket stadium,Yes
20-Dec-17,NewZeland,West Indies,NewZeland,5 wickets,Cobham Oval,Yes
23-Dec-17,NewZeland,West Indies,NewZeland,204 runs,Hagley Oval,Yes
26-Dec-17,NewZeland,West Indies,NewZeland,66 runs,Hagley Oval,Yes
6-Jan-18,NewZeland,Pakistan,NewZeland,61 runs,Basin Park,Yes
8-Jan-18,NewZeland,Pakistan,NewZeland,8 wickets,Saxton Oval,Yes
11-Jan-18,UAE,Ireland,Ireland,4 wickets,ICC GCA,Yes
13-Jan-18,UAE,Ireland,Ireland,67 runs,ICC GCA,Yes
13-Jan-18,NewZeland,Pakistan,NewZeland,183 runs,University Oval,Yes
14-Jan-18,Australia,England,England,5 wickets,Melbourne,Yes
15-Jan-18,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,Yes
16-Jan-18,Scotland,Ireland,Ireland,6 wickets,ICC GCA,Yes
16-Jan-18,NewZeland,Pakistan,NewZeland,5 wickets,Seddon Park,Yes
17-Jan-18,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,Yes
18-Jan-18,Australia,England,England,4 wickets,Brisbane,Yes
18-Jan-18,Ireland,Scotland,Ireland,24 runs,ICC GCA,Yes
18-Jan-18,NewZeland,Pakistan,NewZeland,15 runs,Basin Park,Yes
19-Jan-18,Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,Yes
21-Jan-18,Australia,England,England,16 runs,Sydney,Yes
21-Jan-18,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,Yes
